,Date,AQI,Sample_Duration,Pollutant_Type
0,2009-12-03,13,1 HOUR,42401
1,2009-12-03,13,1 HOUR,42401
2,2009-12-04,1,1 HOUR,42401
3,2009-12-04,1,1 HOUR,42401
4,2009-12-05,4,1 HOUR,42401
5,2009-12-05,4,1 HOUR,42401
6,2009-12-06,4,1 HOUR,42401
7,2009-12-06,4,1 HOUR,42401
8,2009-12-07,7,1 HOUR,42401
9,2009-12-07,7,1 HOUR,42401
10,2009-12-08,9,1 HOUR,42401
11,2009-12-08,9,1 HOUR,42401
12,2009-12-09,3,1 HOUR,42401
13,2009-12-09,3,1 HOUR,42401
14,2009-12-10,6,1 HOUR,42401
15,2009-12-10,6,1 HOUR,42401
16,2009-12-11,3,1 HOUR,42401
17,2009-12-11,3,1 HOUR,42401
18,2009-12-12,6,1 HOUR,42401
19,2009-12-12,6,1 HOUR,42401
20,2009-12-13,17,1 HOUR,42401
21,2009-12-13,17,1 HOUR,42401
22,2009-12-14,6,1 HOUR,42401
23,2009-12-14,6,1 HOUR,42401
24,2009-12-15,24,1 HOUR,42401
25,2009-12-15,24,1 HOUR,42401
26,2009-12-16,9,1 HOUR,42401
27,2009-12-16,9,1 HOUR,42401
28,2009-12-17,1,1 HOUR,42401
29,2009-12-17,1,1 HOUR,42401
30,2009-12-18,14,1 HOUR,42401
31,2009-12-18,14,1 HOUR,42401
32,2009-12-19,1,1 HOUR,42401
33,2009-12-19,1,1 HOUR,42401
34,2009-12-20,3,1 HOUR,42401
35,2009-12-20,3,1 HOUR,42401
36,2009-12-21,0,1 HOUR,42401
37,2009-12-21,0,1 HOUR,42401
38,2009-12-22,4,1 HOUR,42401
39,2009-12-22,4,1 HOUR,42401
40,2009-12-23,4,1 HOUR,42401
41,2009-12-23,4,1 HOUR,42401
42,2009-12-24,10,1 HOUR,42401
43,2009-12-24,10,1 HOUR,42401
44,2009-12-25,6,1 HOUR,42401
45,2009-12-25,6,1 HOUR,42401
46,2009-12-26,4,1 HOUR,42401
47,2009-12-26,4,1 HOUR,42401
48,2009-12-27,21,1 HOUR,42401
49,2009-12-27,21,1 HOUR,42401
50,2009-12-28,6,1 HOUR,42401
51,2009-12-28,6,1 HOUR,42401
52,2009-12-29,3,1 HOUR,42401
53,2009-12-29,3,1 HOUR,42401
54,2009-12-30,17,1 HOUR,42401
55,2009-12-30,17,1 HOUR,42401
56,2009-12-31,13,1 HOUR,42401
57,2009-12-31,13,1 HOUR,42401
58,2009-12-03,6,1 HOUR,42602
59,2009-12-03,6,1 HOUR,42602
60,2009-12-04,3,1 HOUR,42602
61,2009-12-04,3,1 HOUR,42602
