,Date,AQI,Sample_Duration,Pollutant_Type
0,1986-12-28,6,24 HOUR,81102
1,1987-01-03,15,24 HOUR,81102
2,1987-01-09,10,24 HOUR,81102
3,1987-01-15,10,24 HOUR,81102
4,1987-01-21,44,24 HOUR,81102
5,1987-01-27,9,24 HOUR,81102
6,1987-02-02,17,24 HOUR,81102
7,1987-02-08,9,24 HOUR,81102
8,1987-02-14,14,24 HOUR,81102
9,1987-02-20,11,24 HOUR,81102
10,1987-02-26,11,24 HOUR,81102
11,1987-03-04,10,24 HOUR,81102
12,1987-03-10,21,24 HOUR,81102
13,1987-03-16,19,24 HOUR,81102
14,1987-03-22,6,24 HOUR,81102
15,1987-03-28,13,24 HOUR,81102
16,1987-04-21,32,24 HOUR,81102
17,1987-05-09,79,24 HOUR,81102
18,1987-05-15,49,24 HOUR,81102
19,1987-05-21,18,24 HOUR,81102
20,1987-05-27,15,24 HOUR,81102
21,1987-06-14,24,24 HOUR,81102
22,1987-06-20,24,24 HOUR,81102
23,1987-06-26,37,24 HOUR,81102
24,1987-07-02,18,24 HOUR,81102
25,1987-07-08,21,24 HOUR,81102
26,1987-07-14,16,24 HOUR,81102
27,1987-07-20,16,24 HOUR,81102
28,1987-07-26,25,24 HOUR,81102
29,2017-02-16,6,24-HR BLK AVG,81102
30,2017-02-17,5,24-HR BLK AVG,81102
31,2017-02-18,4,24-HR BLK AVG,81102
32,2017-02-19,5,24-HR BLK AVG,81102
33,2017-02-20,6,24-HR BLK AVG,81102
34,2017-02-21,4,24-HR BLK AVG,81102
35,2017-02-22,5,24-HR BLK AVG,81102
36,2017-02-23,6,24-HR BLK AVG,81102
37,2017-02-24,6,24-HR BLK AVG,81102
38,2017-02-25,6,24-HR BLK AVG,81102
39,2017-02-26,6,24-HR BLK AVG,81102
40,2017-02-27,6,24-HR BLK AVG,81102
41,2017-02-28,4,24-HR BLK AVG,81102
42,2017-03-01,6,24-HR BLK AVG,81102
43,2017-03-02,7,24-HR BLK AVG,81102
44,2017-03-03,6,24-HR BLK AVG,81102
45,2017-03-04,5,24-HR BLK AVG,81102
46,2017-03-05,5,24-HR BLK AVG,81102
47,2017-03-06,10,24-HR BLK AVG,81102
48,2017-03-10,6,24-HR BLK AVG,81102
49,2017-03-11,6,24-HR BLK AVG,81102
50,2017-03-12,7,24-HR BLK AVG,81102
51,2017-03-13,5,24-HR BLK AVG,81102
52,2017-03-14,6,24-HR BLK AVG,81102
53,2017-03-15,6,24-HR BLK AVG,81102
54,2017-03-16,7,24-HR BLK AVG,81102
55,2017-03-17,5,24-HR BLK AVG,81102
56,2017-03-18,4,24-HR BLK AVG,81102
57,2017-03-19,6,24-HR BLK AVG,81102
58,2017-03-20,5,24-HR BLK AVG,81102
59,2017-03-21,5,24-HR BLK AVG,81102
60,2017-03-22,8,24-HR BLK AVG,81102
61,2017-03-23,10,24-HR BLK AVG,81102
62,2017-03-24,6,24-HR BLK AVG,81102
63,2017-03-25,6,24-HR BLK AVG,81102
64,2017-03-26,6,24-HR BLK AVG,81102
65,2017-03-27,7,24-HR BLK AVG,81102
66,2017-03-28,6,24-HR BLK AVG,81102
67,2017-03-29,6,24-HR BLK AVG,81102
68,2017-03-30,7,24-HR BLK AVG,81102
69,2017-03-31,6,24-HR BLK AVG,81102
70,2017-04-01,5,24-HR BLK AVG,81102
71,2017-04-02,6,24-HR BLK AVG,81102
72,2017-04-03,6,24-HR BLK AVG,81102
73,2017-04-04,6,24-HR BLK AVG,81102
74,2017-04-05,5,24-HR BLK AVG,81102
75,2017-04-06,5,24-HR BLK AVG,81102
76,2017-04-07,11,24-HR BLK AVG,81102
77,2017-04-08,11,24-HR BLK AVG,81102
78,2017-04-09,6,24-HR BLK AVG,81102
79,2017-04-10,5,24-HR BLK AVG,81102
80,2017-04-11,9,24-HR BLK AVG,81102
81,2017-04-12,12,24-HR BLK AVG,81102
82,2017-04-13,14,24-HR BLK AVG,81102
83,2017-04-14,18,24-HR BLK AVG,81102
84,2017-04-15,6,24-HR BLK AVG,81102
85,2017-04-16,4,24-HR BLK AVG,81102
86,2017-04-17,5,24-HR BLK AVG,81102
87,2017-04-18,6,24-HR BLK AVG,81102
88,2017-04-19,6,24-HR BLK AVG,81102
89,2017-04-20,4,24-HR BLK AVG,81102
90,2017-04-21,6,24-HR BLK AVG,81102
91,2017-04-22,5,24-HR BLK AVG,81102
92,2017-04-23,6,24-HR BLK AVG,81102
93,2017-04-24,4,24-HR BLK AVG,81102
